"nomeGateway";"nomeAuvo";"idAuvo"
"NOME_AQUI";"Cliente teste";"14248700"
"NOME_AQUI";"EDF. BITÁCORA";"14254568"
"NOME_AQUI";"EDF. MÔNICA";"14254569"
"NOME_AQUI";"EDF. BALI";"14254570"
"NOME_AQUI";"EDF. ABÍLIO MUNIZ";"14254571"
"NOME_AQUI";"EDF. PRAÇA ATLÂNTICO";"14254572"
"NOME_AQUI";"EDF. ANA REGINA (desativado)";"14254573"
"NOME_AQUI";"EDF. PAJUÇARA";"14254574"
"NOME_AQUI";"EDF. MONTARROYOS";"14254575"
"NOME_AQUI";"EDF. ANABELLA";"14254576"
"NOME_AQUI";"EDF. MARCELINO I";"14254577"
"NOME_AQUI";"EDF. BARÃO DE MELGAÇO";"14254578"
"NOME_AQUI";"EDF. PRAÇA DA BARRA (desativado)";"14254579"
"NOME_AQUI";"EDF. PARC BENVINDA DE FARIAS";"14254580"
"NOME_AQUI";"EDF. ABÍLIO TAVARES DA SILVA";"14254581"
"NOME_AQUI";"EDF. BONGI";"14254583"
"NOME_AQUI";"EDF. PRAÇA DAS AZALEIAS";"14254584"
"NOME_AQUI";"EDF. ANDARAÍ";"14254585"
"NOME_AQUI";"EDF. MONTREAL";"14254586"
"NOME_AQUI";"EDF. AGRA GARDEN";"14254587"
"NOME_AQUI";"EDF. MARIA CECÍLIA RODRIGUES";"14254588"
"NOME_AQUI";"EDF. BOSQUE DE LYON";"14254589"
"NOME_AQUI";"EDF. PEDRA DO TOQUE";"14254590"
"NOME_AQUI";"EDF. ANDRÉ GIDE";"14254591"
"NOME_AQUI";"EDF. MORADA COLONIAL";"14254592"
"NOME_AQUI";"EDF. BELLÁGIO RESIDENCE";"14254593"
"NOME_AQUI";"EDF. MARIA CELINA";"14254594"
"NOME_AQUI";"EDF. PRAÇA DAS PAPOULAS";"14254595"
"NOME_AQUI";"EDF. ALAMEDA DOS IPÊS";"14254596"
"NOME_AQUI";"EDF. ANDRESSA DE ALMEIDA";"14254597"
"NOME_AQUI";"EDF. PEDRO RODRIGUES";"14254598"
"NOME_AQUI";"EDF. BOSQUE TACARUNA";"14254599"
"NOME_AQUI";"EDF. BERNA";"14254600"
"NOME_AQUI";"EDF. MORADA DOS RODRIGUES (desativado)";"14254601"
"NOME_AQUI";"EDF. ANTÍGUA";"14254602"
"NOME_AQUI";"EDF. PRAÇA DOS FLAMBOYANTS";"14254603"
"NOME_AQUI";"EDF. ALAMEDA DOS DANTAS (desativado)";"14254604"
"NOME_AQUI";"EDF. PRAÇA FLORAL DO MAR";"14254605"
"NOME_AQUI";"EDF. AQUARIUS";"14254606"
"NOME_AQUI";"EDF. PIAZZA DOS CARVALHOS";"14254607"
"NOME_AQUI";"EDF. PRAÇA VIANNA DO CASTELO";"14254608"
"NOME_AQUI";"EDF. ALAMEDA MÔNICA CAMPOS";"14254609"
"NOME_AQUI";"EDF. PORTAL DE BOA VIAGEM";"14254610"
"NOME_AQUI";"EDF. QUINTA DAS PALMEIRAS";"14254611"
"NOME_AQUI";"EDF. ARCÁDIA";"14254612"
"NOME_AQUI";"EDF. PRÍNCIPE DE ORANGE";"14254613"
"NOME_AQUI";"EDF. ATALAIA";"14254614"
"NOME_AQUI";"EDF. QUINTA MANUEL RODRIGUES";"14254615"
"NOME_AQUI";"EDF. ALICE MARIA";"14254616"
"NOME_AQUI";"EDF. QUAZAR";"14254617"
"NOME_AQUI";"EDF. CONCORDE";"14254618"
"NOME_AQUI";"EDF. PORTAL MARCOS DE AGUIAR";"14254619"
"NOME_AQUI";"EDF. TATIANA";"14254620"
"NOME_AQUI";"EDF. TICIANA";"14254621"
"NOME_AQUI";"EDF. CAMILO PEREIRA CARNEIRO";"14254622"
"NOME_AQUI";"EDF. ATLÂNTICO";"14254623"
"NOME_AQUI";"EDF. RICARDO II";"14254624"
"NOME_AQUI";"EDF. CANOPUS (desativado)";"14254625"
"NOME_AQUI";"EDF. RAFFAELLO";"14254626"
"NOME_AQUI";"EDF. ANA CRISTINA";"14254627"
"NOME_AQUI";"EDF. RESIDENCIAL ABC";"14254628"
"NOME_AQUI";"EDF. CASA ALTA";"14254629"
"NOME_AQUI";"EDF. RICHELIEU";"14254630"
"NOME_AQUI";"EDF. TEOREMA";"14254632"
"NOME_AQUI";"EDF. CASABELLA";"14254633"
"NOME_AQUI";"EDF. DA VINCI";"14254634"
"NOME_AQUI";"EDF. TORRE EIFFEL";"14254635"
"NOME_AQUI";"EDF. DÁLIA";"14254636"
"NOME_AQUI";"EDF. CONTATO";"14254637"
"NOME_AQUI";"EDF. TIAGO ONOFRE";"14254638"
"NOME_AQUI";"EDF. DON RODRIGO";"14254639"
"NOME_AQUI";"EDF. SERRA AZUL";"14254640"
"NOME_AQUI";"EDF. CORY";"14254641"
"NOME_AQUI";"EDF. TURQUEZA";"14254642"
"NOME_AQUI";"EDF. CHATEAU FRONTENAC";"14254643"
"NOME_AQUI";"EDF. SAGARANA";"14254644"
"NOME_AQUI";"EDF. SERRA DO MAR";"14254646"
"NOME_AQUI";"EDF. SAHARA";"14254647"
"NOME_AQUI";"EDF. COSTA DALMÁCIA";"14254648"
"NOME_AQUI";"EDF. SINFONIA";"14254649"
"NOME_AQUI";"EDF. CHATEAU LACAVE";"14254650"
"NOME_AQUI";"EDF. COSTA DO RIO";"14254651"
"NOME_AQUI";"EDF. DUAS NAÇÕES";"14254652"
"NOME_AQUI";"EDF. SAINT HONORÉ";"14254653"
"NOME_AQUI";"EDF. DAMASCO";"14254654"
"NOME_AQUI";"EDF. DULCE RODRIGUES";"14254655"
"NOME_AQUI";"EDF. COSTA RICA";"14254657"
"NOME_AQUI";"EDF. SINHÁ";"14254658"
"NOME_AQUI";"EDF. UBAJARA";"14254659"
"NOME_AQUI";"EDF. ÉBANO";"14254660"
"NOME_AQUI";"EDF. SAINT MICHEL";"14254661"
"NOME_AQUI";"EDF. CITRINO HOME (desativado)";"14254662"
"NOME_AQUI";"EDF. SOBRADO GILBERTO FREYRE";"14254663"
"NOME_AQUI";"EDF. SÃO NICOLAU";"14254664"
"NOME_AQUI";"EDF. COSTA VICENTINA";"14254665"
"NOME_AQUI";"EDF. SOLAR DE CANDEIAS";"14254666"
"NOME_AQUI";"EDF. CLARICE CAVALCANTI (desativado)";"14254667"
"NOME_AQUI";"EDF. SELMA SUASSUNA (desativado)";"14254668"
"NOME_AQUI";"EDF. CÔTE D'AZUR (desativado)";"14254669"
"NOME_AQUI";"EDF. VÂNIA VIDAL";"14254670"
"NOME_AQUI";"EDF. ELIS REGINA";"14254671"
"NOME_AQUI";"EDF. SOLAR DOS LORDES";"14254672"
"NOME_AQUI";"EDF. COLISEU";"14254673"
"NOME_AQUI";"EDF. SEPTEMBER";"14254674"
"NOME_AQUI";"EDF. EÇA DE QUEIROZ";"14254675"
"NOME_AQUI";"EDF. VENEZUELA";"14254676"
"NOME_AQUI";"EDF. EMANUELLA";"14254677"
"NOME_AQUI";"EDF. SPARTA";"14254678"
"NOME_AQUI";"EDF. EMPRESARIAL CONLAR";"14254679"
"NOME_AQUI";"EDF. SERAFIM TEIXEIRA";"14254680"
"NOME_AQUI";"EDF. ENGENHO POETA";"14254681"
"NOME_AQUI";"EDF. VIA MANZONI";"14254682"
"NOME_AQUI";"EDF. EGAS MONIS";"14254683"
"NOME_AQUI";"EDF. VILLAGE";"14254684"
"NOME_AQUI";"EDF. ESTAÇÃO VERDE";"14254685"
"NOME_AQUI";"EDF. VITÓRIA RÉGIA";"14254686"
"NOME_AQUI";"EDF. GREEN PARK";"14254687"
"NOME_AQUI";"EDF. YVRESSES VILLAGE";"14254688"
"NOME_AQUI";"EDF. GOLDEN GARDEN";"14254689"
"NOME_AQUI";"EDF. VIVENDA DAS ORQUÍDEAS";"14254690"
"NOME_AQUI";"EDF. GUAINAZES";"14254692"
"NOME_AQUI";"EDF. ZEZO MONTENEGRO";"14254693"
"NOME_AQUI";"BKUP EDVAN CARUARU";"14254694"
"NOME_AQUI";"EDF. FERNANDO DANTAS PEREIRA";"14254695"
"NOME_AQUI";"EDF. BELA VISTA";"14254696"
"NOME_AQUI";"EDF. GOLDEN SEA";"14254698"
"NOME_AQUI";"EDF. GUIMARÃES ROSA";"14254699"
"NOME_AQUI";"EDF. AMBOISE";"14254700"
"NOME_AQUI";"EDF. CONDE DE SAVÓIA";"14254702"
"NOME_AQUI";"EDF. HENRIQUE VI";"14254705"
"NOME_AQUI";"EDF. CONGRESSO DOS PÁSSAROS";"14254706"
"NOME_AQUI";"EDF. HELENA BORGES";"14254707"
"NOME_AQUI";"EDF. CENTAURO";"14254708"
"NOME_AQUI";"EDF. ILHA DE RHODES";"14254709"
"NOME_AQUI";"CENTRAL - QUALIPORT";"14254710"
"NOME_AQUI";"EDF. HORTÊNSIA";"14254711"
"NOME_AQUI";"EDF. IBIRUBÁ";"14254713"
"NOME_AQUI";"EDF. CHIEVO VERONA";"14254714"
